new_ID	PAIR	PREREQUISITE	TARGET	ID_SENT	AGREEMENT	SENT -1	SENT	SENT +1
461	MACHINE%HIDDEN_TERMINAL_PROBLEM	MACHINE	HIDDEN TERMINAL PROBLEM	55	2	For example, the machine may not hear the other because its own signal drowns out that of the other machine.	Another cause might be that the signals from the different machines are blocked from each other by objects or distance even though they can all communicate with the central access point (a condition known as the hidden terminal problem, Figure 4.3).	The result is that wireless networks adopt the policy of trying to avoid collisions rather than trying to detect them.
462	MACHINE%LOCAL_MACHINE	MACHINE	LOCAL MACHINE	302	1	Using post office protocol version 3, a user transfers (downloads) messages to his or her local computer where they can be read, stored in various folders, edited, and otherwise manipulated as the user desires.	This is done on the user's local machine using the local machine's mass storage.	internet mail access protocol (pronounced " EYE-map ") allows a user to store and manipulate messages and related materials on the same machine as the mail server.
463	MACHINE%NETWORK	MACHINE	NETWORK	22	1	In contrast, a company such as Novell Inc. might develop proprietary systems for which it chooses to maintain ownership rights, allowing the company to draw income from selling or leasing these products.	Still another way of classifying networks is based on the topology of the network, which refers to the pattern in which the machines are connected.	Two of the more popular topologies are the bus, in which the machines are all connected to a common communication line called a bus (Figure 4.1a), and the star, in which one machine serves as a central focal point to which all the others are connected (Figure 4.1b).
464	MACHINE%PROTOCOL	MACHINE	PROTOCOL	41	1	Thus, the development of protocol standards is an indispensable process in the development of networking technologies.	As an introduction to the protocol concept, let us consider the problem of coordinating the transmission of messages among computers in a network.	Without rules governing this communication, all the computers might insist on transmitting messages at the same time or fail to assist other machines when that assistance is required.
465	MACHINE%SERVER	MACHINE	SERVER	117	2	Such communication between processes is called interprocess communication.	A popular convention used for interprocess communication is the client / server model.	This model defines the basic roles played by the processes as either a client, which makes requests of other processes, or a server, which satisfies the requests made by clients.
466	MACHINE%SILENT_CHANNEL	MACHINE	SILENT CHANNEL	65	1	If a busy channel is experienced during this process, the machine waits for a randomly determined period before trying again.	Once this period is exhausted, the machine is allowed to claim a silent channel without hesitation.	This means that collisions between " newcomers " and those that have already been waiting are avoided because a " newcomer " is not allowed to claim a silent channel until any machine that has been waiting is given the opportunity to start.
467	MACHINE%STAR	MACHINE	STAR	23	2	Still another way of classifying networks is based on the topology of the network, which refers to the pattern in which the machines are connected.	Two of the more popular topologies are the bus, in which the machines are all connected to a common communication line called a bus (Figure 4.1a), and the star, in which one machine serves as a central focal point to which all the others are connected (Figure 4.1b).	The bus topology was popularized in the 1990s when it was implemented under a set of standards known as Ethernet, and ethernet networks remain one of the most popular networking systems in use today.
468	MACHINE%UNIFORM_RESOURCE_LOCATOR	MACHINE	UNIFORM RESOURCE LOCATOR	364	1	Thus to view a webpage, a person first provides his or her browser with the uniform resource locator of the desired document and then instructs the browser to retrieve and display the document.	A typical uniform resource locator is presented in Figure 4.8.	It consists of four segments: the protocol to use to communicate with the server controlling access to the document, the mnemonic address of the machine containing the server, the directory path needed for the server to find the directory containing the document, and the name of the document itself.
469	MACHINE%VIRUS	MACHINE	VIRUS	606	1	The Computer Emergency Response Team Coordination Center maintains a website at http://www.cert.org where it posts notices of its activities.	A virus is software that infects a computer by inserting itself into programs that already reside in the machine.	Then, when the " host " program is executed, the virus is also executed.
470	MACHINE%VOICE_OVER_INTERNET_PROTOCOL	MACHINE	VOICE OVER INTERNET PROTOCOL	306	1	VoIP	As an example of a more recent Internet application, consider voice over internet protocol (VoIP) in which the internet infrastructure is used to provide voice communication similar to that of traditional telephone systems.	In its simplest form, voice over internet protocol consists of two processes on different machines transferring audio data via the peer-to-peer model-a process that in itself presents no significant problems.
471	MACHINE%WIDE_AREA_NETWORK	MACHINE	WIDE AREA NETWORK	14	2	A metropolitan area network is a network of intermediate size, such as one spanning a local community.	Finally, a wide area network links machines over a greater distance-perhaps in neighboring cities or on opposite sides of the world.	Another means of classifying networks is based on whether the network's internal operation is based on designs that are in the public domain or on innovations owned and controlled by a particular entity such as an individual or a corporation.
472	MAGNETIC_DISK%MASS_STORAGE	MAGNETIC DISK	MASS STORAGE	123	2	Another early application of the client/server model was used to reduce the cost of magnetic disk storage while also removing the need for duplicate copies of records.	Here one machine in a network was equipped with a high-capacity mass storage system (usually a magnetic disk) that contained all of an organization's records.	Other machines on the network then requested access to the records as they needed them.
473	MAIL_SERVER%DOMAIN_NAME_SYSTEM	MAIL SERVER	DOMAIN NAME SYSTEM	272	1	First, a mail handling process on mail.skaro.gov contacts the mail server process on mail.tardis.edu.	To accomplish this, it uses domain name system, another network protocol, to map the human-readable destination domain name to the proper mail server name, and then to its internet protocol address.	This is not unlike looking up the phone number of an acquaintance before dialing.
474	MAIL_SERVER%END_USER	MAIL SERVER	END USER	270	1	Simple mail transfer protocol (SMTP) defines a way that two computers on the network may interact when transmitting an email message from one host to the other.	Consider the example case of a mail server mail.skaro.gov sending an email from end user " dalek " to end user " doctor " in the domain tardis.edu.	First, a mail handling process on mail.skaro.gov contacts the mail server process on mail.tardis.edu.
475	MAIL_SERVER%INTERNET_MAIL_ACCESS_PROTOCOL	MAIL SERVER	INTERNET MAIL ACCESS PROTOCOL	300	4	There are two popular protocols that may be used for accessing email that has arrived and accumulated at a user's mail server.	These are POP3 (post office protocol version 3) and internet mail access protocol (IMAP). post office protocol version 3 (pronounced " pop-THREE ") is the simpler of the two.	Using post office protocol version 3, a user transfers (downloads) messages to his or her local computer where they can be read, stored in various folders, edited, and otherwise manipulated as the user desires.
476	MAIL_SERVER%INTERNET_MAIL_ACCESS_PROTOCOL	MAIL SERVER	INTERNET MAIL ACCESS PROTOCOL	303	5	This is done on the user's local machine using the local machine's mass storage.	internet mail access protocol (pronounced " EYE-map ") allows a user to store and manipulate messages and related materials on the same machine as the mail server.	In this manner, a user who must access his or her email from different computers can maintain records at the mail server that are then accessible from any remote computer to which the user may have access.
477	MAIL_SERVER%PORT_NUMBER	MAIL SERVER	PORT NUMBER	548	1	For example, if a Web browser is asked to retrieve the document whose uniform resource locator is http://www .zoo.org/animals/frog.html, the browser assumes that it should contact the hypertext transfer protocol server at www.zoo.org via port number 80.	Likewise, when sending email, an simple mail transfer protocol client assumes that it should communicate with the simple mail transfer protocol mail server through port number 25.	In summary, communication over the Internet involves the interaction of four layers of software.
478	MAIL_SERVER%POST_OFFICE_PROTOCOL_VERSION_3	MAIL SERVER	POST OFFICE PROTOCOL VERSION 3	300	2	There are two popular protocols that may be used for accessing email that has arrived and accumulated at a user's mail server.	These are POP3 (post office protocol version 3) and internet mail access protocol (IMAP). post office protocol version 3 (pronounced " pop-THREE ") is the simpler of the two.	Using post office protocol version 3, a user transfers (downloads) messages to his or her local computer where they can be read, stored in various folders, edited, and otherwise manipulated as the user desires.
479	MAIL_SERVER%POST_OFFICE_PROTOCOL_VERSION_3	MAIL SERVER	POST OFFICE PROTOCOL VERSION 3	300	3	There are two popular protocols that may be used for accessing email that has arrived and accumulated at a user's mail server.	These are POP3 (post office protocol version 3) and internet mail access protocol (IMAP). post office protocol version 3 (pronounced " pop-THREE ") is the simpler of the two.	Using post office protocol version 3, a user transfers (downloads) messages to his or her local computer where they can be read, stored in various folders, edited, and otherwise manipulated as the user desires.
480	MAIL_SERVER%SERVER-SIDE_ACTIVITY	MAIL SERVER	SERVER-SIDE ACTIVITY	466	1	In this case, the webserver is an intermediary between the client and the client's mail server.	Essentially, the webserver builds webpages that contain information from the mail server (a server-side activity) and sends those pages to the client where the client's browser displays them (a client-side activity).	Conversely, the browser allows the user to create messages (a client-side activity) and sends that information to the webserver, which then forwards the messages to the mail server (a server-side activity) for mailing.
481	MAIL_SERVER%SIMPLE_MAIL_TRANSFER_PROTOCOL	MAIL SERVER	SIMPLE MAIL TRANSFER PROTOCOL	269	1	While many users now rely on their browser or a sophisticated application like Microsoft's Outlook, Apple's Mail, or Mozilla's Thunderbird to read and compose their email, the actual transmission of email messages from one computer to another on the Internet remains the domain of basic network protocols like simple mail transfer protocol.	Simple mail transfer protocol (SMTP) defines a way that two computers on the network may interact when transmitting an email message from one host to the other.	Consider the example case of a mail server mail.skaro.gov sending an email from end user " dalek " to end user " doctor " in the domain tardis.edu.
482	MAIL_SERVER%TRANSMISSION_CONTROL_PROTOCOL	MAIL SERVER	TRANSMISSION CONTROL PROTOCOL	580	2	For example, the efficiency of user datagram protocol makes it the protocol of choice for domain name system lookups and voice over internet protocol.	However, because email is less time sensitive, mail servers use transmission control protocol to transfer email. internet protocol is the Internet's standard for implementing the tasks assigned to the network layer.	We have already observed that this task consists of forwarding, which involves relaying packets through the Internet, and routing, which involves updating the layer's forwarding table to reflect changing conditions.
483	MALICIOUS_SOFTWARE%ANTIVIRUS_SOFTWARE	MALICIOUS SOFTWARE	ANTIVIRUS SOFTWARE	674	1	In effect, auditing software is an administrator's primary tool for identifying problems before they grow out of control.	Another means of defense against invasions via network connections is software called antivirus software, which is used to detect and remove the presence of known viruses and other infections.	Actually, antivirus software represents a broad class of software products, each designed to detect and remove a specific type of infection.
484	MALICIOUS_SOFTWARE%AUDITING_SOFTWARE	MALICIOUS SOFTWARE	AUDITING SOFTWARE	671	1	For example, an file transfer protocol proxy server could check all incoming files for the presence of known viruses and block all infected files.	Still another tool for preventing problems in a network environment is auditing software that is similar to the auditing software we learned about in our discussion on operating system security (Section 3.5).	Using network auditing software, a system administrator can detect a sudden increase in message traffic at various locations within the administrator's realm, monitor the activities of the system's firewalls, and analyze the pattern of requests being made by the individual computers in order to detect irregularities.
485	MALICIOUS_SOFTWARE%FIREWALL	MALICIOUS SOFTWARE	FIREWALL	644	1	The old adage " an ounce of prevention is worth a pound of cure " is certainly true in the context of controlling vandalism over network connections.	A primary prevention technique is to filter traffic passing through a point in the network, usually with a program called a firewall.	For instance, a firewall might be installed at the gateway of an organization's intranet to filter messages passing in and out of the region.
486	MALICIOUS_SOFTWARE%PHISHING	MALICIOUS SOFTWARE	PHISHING	623	1	In other cases, spyware is used for blatantly malicious purposes such as recording the symbol sequences typed at the computer's keyboard in search of passwords or credit card numbers.	As opposed to obtaining information secretly by sniffing via spyware, phishing is a technique of obtaining information explicitly by simply asking for it.	The term phishing is a play on the word fishing because the process involved is to cast numerous " lines " in hopes that someone will " take the bait ".
487	MALICIOUS_SOFTWARE%PROXY_SERVER	MALICIOUS SOFTWARE	PROXY SERVER	659	1	These filters are examples of how a variety of subject areas (probability theory, artificial intelligence, etc.) can jointly contribute to developments in other fields.	Another preventative tool that has filtering connotations is the proxy server.	A proxy server is a software unit that acts as an intermediary between a client and a server with the goal of shielding the client from adverse actions of the server.
488	MALICIOUS_SOFTWARE%SPYWARE	MALICIOUS SOFTWARE	SPYWARE	600	5	Such software might be transferred to, and executed on, the computer itself, or it might attack the computer from a distance.	Examples of software that is transferred to, and executed on, the computer under attack include viruses, worms, trojan horses, and spyware, whose names reflect the primary characteristic of the software.	The Computer Emergency Response Team In November 1988 a worm released into the Internet caused significant disruption of service.
489	MALICIOUS_SOFTWARE%SPYWARE	MALICIOUS SOFTWARE	SPYWARE	620	5	Thus, email attachments from unknown sources should never be opened.	Another form of malicious software is spyware (sometimes called sniffing software), which is software that collects information about activities at the computer on which it resides and reports that information back to the instigator of the attack.	Some companies use spyware as a means of building customer profiles, and in this context, it has questionable ethical merit.
490	MALICIOUS_SOFTWARE%TROJAN_HORSE	MALICIOUS SOFTWARE	TROJAN HORSE	600	3	Such software might be transferred to, and executed on, the computer itself, or it might attack the computer from a distance.	Examples of software that is transferred to, and executed on, the computer under attack include viruses, worms, trojan horses, and spyware, whose names reflect the primary characteristic of the software.	The Computer Emergency Response Team In November 1988 a worm released into the Internet caused significant disruption of service.
491	MALICIOUS_SOFTWARE%TROJAN_HORSE	MALICIOUS SOFTWARE	TROJAN HORSE	600	4	Such software might be transferred to, and executed on, the computer itself, or it might attack the computer from a distance.	Examples of software that is transferred to, and executed on, the computer under attack include viruses, worms, trojan horses, and spyware, whose names reflect the primary characteristic of the software.	The Computer Emergency Response Team In November 1988 a worm released into the Internet caused significant disruption of service.
492	MALICIOUS_SOFTWARE%TROJAN_HORSE	MALICIOUS SOFTWARE	TROJAN HORSE	613	4	A characteristic consequence of a worm is an explosion of the worm's replicated copies that degrades the performance of legitimate applications and can ultimately overload an entire network or internet.	A trojan horse is a program that enters a computer system disguised as a desirable program, such as a game or useful utility package, that is willingly imported by the victim.	Once in the computer, however, the trojan horse performs additional activities that might have harmful effects.
493	MALICIOUS_SOFTWARE%VIRUS	MALICIOUS SOFTWARE	VIRUS	600	3	Such software might be transferred to, and executed on, the computer itself, or it might attack the computer from a distance.	Examples of software that is transferred to, and executed on, the computer under attack include viruses, worms, trojan horses, and spyware, whose names reflect the primary characteristic of the software.	The Computer Emergency Response Team In November 1988 a worm released into the Internet caused significant disruption of service.
494	MALICIOUS_SOFTWARE%VIRUS	MALICIOUS SOFTWARE	VIRUS	606	3	The Computer Emergency Response Team Coordination Center maintains a website at http://www.cert.org where it posts notices of its activities.	A virus is software that infects a computer by inserting itself into programs that already reside in the machine.	Then, when the " host " program is executed, the virus is also executed.
495	MALICIOUS_SOFTWARE%WORM	MALICIOUS SOFTWARE	WORM	600	4	Such software might be transferred to, and executed on, the computer itself, or it might attack the computer from a distance.	Examples of software that is transferred to, and executed on, the computer under attack include viruses, worms, trojan horses, and spyware, whose names reflect the primary characteristic of the software.	The Computer Emergency Response Team In November 1988 a worm released into the Internet caused significant disruption of service.
496	MALICIOUS_SOFTWARE%WORM	MALICIOUS SOFTWARE	WORM	611	4	A worm is an autonomous program that transfers itself through a network, taking up residence in computers and forwarding copies of itself to other computers.	As in the case of a virus, a worm can be designed merely to replicate itself or to perform more extreme vandalism.	A characteristic consequence of a worm is an explosion of the worm's replicated copies that degrades the performance of legitimate applications and can ultimately overload an entire network or internet.
497	MARKUP_LANGUAGE%HYPERTEXT_MARKUP_LANGUAGE	MARKUP LANGUAGE	HYPERTEXT MARKUP LANGUAGE	433	1	Following the extensible markup language standard, notational systems called markup languages have been developed for representing mathematics, multimedia presentations, and music.	In fact, hypertext markup language is the markup language based on the extensible markup language standard that was developed for representing webpages.	Actually, the original version of hypertext markup language was developed before the extensible markup language standard was solidified, and therefore some features of hypertext markup language do not strictly conform to extensible markup language.
498	MASS_STORAGE%FILE_SERVER	MASS STORAGE	FILE SERVER	125	1	Other machines on the network then requested access to the records as they needed them.	Thus the machine that actually contained the records played the role of a server (called a file server), and the other machines played the role of clients that requested access to the files that were stored at the file server.	Today the client/server model is used extensively in network applications, as we will see later in this chapter.
499	MASS_STORAGE%MAGNETIC_DISK	MASS STORAGE	MAGNETIC DISK	123	1	Another early application of the client/server model was used to reduce the cost of magnetic disk storage while also removing the need for duplicate copies of records.	Here one machine in a network was equipped with a high-capacity mass storage system (usually a magnetic disk) that contained all of an organization's records.	Other machines on the network then requested access to the records as they needed them.
500	MASS_STORAGE%POST_OFFICE_PROTOCOL_VERSION_3	MASS STORAGE	POST OFFICE PROTOCOL VERSION 3	300	4	There are two popular protocols that may be used for accessing email that has arrived and accumulated at a user's mail server.	These are POP3 (post office protocol version 3) and internet mail access protocol (IMAP). post office protocol version 3 (pronounced " pop-THREE ") is the simpler of the two.	Using post office protocol version 3, a user transfers (downloads) messages to his or her local computer where they can be read, stored in various folders, edited, and otherwise manipulated as the user desires.
501	MASS_STORAGE%POST_OFFICE_PROTOCOL_VERSION_3	MASS STORAGE	POST OFFICE PROTOCOL VERSION 3	301	4	These are POP3 (post office protocol version 3) and internet mail access protocol (IMAP). post office protocol version 3 (pronounced " pop-THREE ") is the simpler of the two.	Using post office protocol version 3, a user transfers (downloads) messages to his or her local computer where they can be read, stored in various folders, edited, and otherwise manipulated as the user desires.	This is done on the user's local machine using the local machine's mass storage.
502	MASS_STORAGE%VIRUS	MASS STORAGE	VIRUS	609	3	When executed, many viruses do little more than try to transfer themselves to other programs within the computer.	Some viruses, however, perform devastating actions such as degrading portions of the operating system, erasing large blocks of mass storage, or otherwise corrupting data and other programs.	A worm is an autonomous program that transfers itself through a network, taking up residence in computers and forwarding copies of itself to other computers.
503	MESSAGE%ADDRESS	MESSAGE	ADDRESS	104	1	The reason that routers are so named is that their purpose is to forward messages in their proper directions.	This forwarding process is based on an internetwide addressing system in which all the devices in an internet (including the machines in the original networks and the routers) are assigned unique addresses.	Thus, each machine in one of the original networks has two addresses: its original " local " address within its own network and its internet address.
504	MESSAGE%APPLICATION_LAYER	MESSAGE	APPLICATION LAYER	503	4	The four layers are known as the application layer, the transport layer, the network layer, and the link layer (Figure 4.13).	A message typically originates in the application layer.	From there it is passed down through the transport and network layers as it is prepared for transmission, and finally it is transmitted by the link layer.
505	MESSAGE%APPLICATION_LAYER	MESSAGE	APPLICATION LAYER	508	4	We begin our journey with the application layer.	The application layer consists of those software units such as clients and servers that use Internet communication to carry out their tasks.	Although the names are similar, this layer is not restricted to software in the application classification presented in Section 3.2, but also includes many utility packages.
506	MESSAGE%AUDITING_SOFTWARE	MESSAGE	AUDITING SOFTWARE	672	2	Still another tool for preventing problems in a network environment is auditing software that is similar to the auditing software we learned about in our discussion on operating system security (Section 3.5).	Using network auditing software, a system administrator can detect a sudden increase in message traffic at various locations within the administrator's realm, monitor the activities of the system's firewalls, and analyze the pattern of requests being made by the individual computers in order to detect irregularities.	In effect, auditing software is an administrator's primary tool for identifying problems before they grow out of control.
507	MESSAGE%BRIDGE	MESSAGE	BRIDGE	79	1	The simplest of these is the repeater, which is little more than a device that passes signals back and forth between the two original buses (usually with some form of amplification) without considering the meaning of the signals (Figure 4.4a).	A bridge is similar to, but more complex than, a repeater.	Like a repeater, it connects two buses, but it does not necessarily pass all messages across the connection.
508	MESSAGE%CARRIER_SENSE	MESSAGE	CARRIER SENSE	43	1	Without rules governing this communication, all the computers might insist on transmitting messages at the same time or fail to assist other machines when that assistance is required.	In a bus network based on the Ethernet standards, the right to transmit messages is controlled by the protocol known as carrier sense, multiple access with collision detection (CSMA/CD).	This protocol dictates that each message be broadcast to all the machines on the bus (Figure 4.2).
509	MESSAGE%CLIENT-SIDE_ACTIVITY	MESSAGE	CLIENT-SIDE ACTIVITY	467	1	Essentially, the webserver builds webpages that contain information from the mail server (a server-side activity) and sends those pages to the client where the client's browser displays them (a client-side activity).	Conversely, the browser allows the user to create messages (a client-side activity) and sends that information to the webserver, which then forwards the messages to the mail server (a server-side activity) for mailing.	There are numerous systems for performing client - and server-side activities, each competing with the others for prominence.
510	MESSAGE%COLLISION_AVOIDANCE	MESSAGE	COLLISION AVOIDANCE	58	1	Such policies are classified as carrier sense, multiple access with collision avoidance (CSMA/CA), many of which are standardized by IEEE (see the sidebar " Institute of Electrical and Electronics Engineers " in Chapter 7) within the protocols defined in IEEE 802.11 and commonly referred to as wifi.	We emphasize that collision avoidance protocols are designed to avoid collisions and may not eliminate them completely.	When collisions do occur, messages must be retransmitted.
511	MESSAGE%DECRYPT	MESSAGE	DECRYPT	692	1	Some use the presence or absence of the icon to indicate whether secure sockets layer is being used; others display the padlock in either the locked or unlocked position.	One of the more fascinating topics in the field of encryption is public-key encryption, which involves techniques by which encryption systems are designed so that having knowledge about how messages are encrypted does not allow one to decrypt messages.	This characteristic is somewhat counterintuitive.
512	MESSAGE%DENIAL_OF_SERVICE_ATTACK	MESSAGE	DENIAL OF SERVICE ATTACK	631	2	An example is a denial of service (DoS) attack, which is the process of overloading a computer with messages. denial of service attacks have been launched against large commercial webservers on the Internet to disrupt the company's business and in some cases have brought the company's commercial activity to a halt.	A denial of service attack requires the generation of a large number of messages over a brief period of time.	To accomplish this, an attacker usually plants software on numerous unsuspecting computers that will generate messages when a signal is given.
513	MESSAGE%DIGITAL_SIGNATURE	MESSAGE	DIGITAL SIGNATURE	716	3	That is, text can be encrypted with the private-key, and because only one party has access to that key, any text that is so encrypted must have originated from that party.	In this manner, the holder of the private-key can produce a bit pattern, called a digital signature, that only that party knows how to produce.	By attaching that signature to a message, the sender can mark the message as being authentic.
514	MESSAGE%DIGITAL_SIGNATURE	MESSAGE	DIGITAL SIGNATURE	718	3	By attaching that signature to a message, the sender can mark the message as being authentic.	A digital signature can be as simple as the encrypted version of the message itself.	All the sender must do is encrypt the message being transmitted using his or her private-key (the key typically used for decrypting).
515	MESSAGE%ENCRYPTION	MESSAGE	ENCRYPTION	686	1	However, passwords can be compromised and are of little value when data are transferred over networks and internets where messages are relayed by unknown entities.	In these cases encryption can be used so that even if the data fall into unscrupulous hands, the encoded information will remain confidential.	Today, many traditional Internet applications have been altered to incorporate encryption techniques, producing what are called " secure versions " of the applications.
516	MESSAGE%FIREWALL	MESSAGE	FIREWALL	644	4	The old adage " an ounce of prevention is worth a pound of cure " is certainly true in the context of controlling vandalism over network connections.	A primary prevention technique is to filter traffic passing through a point in the network, usually with a program called a firewall.	For instance, a firewall might be installed at the gateway of an organization's intranet to filter messages passing in and out of the region.
517	MESSAGE%FIREWALL	MESSAGE	FIREWALL	645	4	A primary prevention technique is to filter traffic passing through a point in the network, usually with a program called a firewall.	For instance, a firewall might be installed at the gateway of an organization's intranet to filter messages passing in and out of the region.	Such firewalls might be designed to block outgoing messages with certain destination addresses or to block incoming messages from origins that are known to be sources of trouble.
518	MESSAGE%FORWARDING_TABLE	MESSAGE	FORWARDING TABLE	108	1	From there it is forwarded in the proper direction.	For this forwarding purpose, each router maintains a forwarding table that contains the router's knowledge about the direction in which messages should be sent depending on their destination addresses.	The " point " at which one network is linked to an internet is often called a gateway because it serves as a passageway between the network and the outside world.
519	MESSAGE%HIDDEN_TERMINAL_PROBLEM	MESSAGE	HIDDEN TERMINAL PROBLEM	55	1	For example, the machine may not hear the other because its own signal drowns out that of the other machine.	Another cause might be that the signals from the different machines are blocked from each other by objects or distance even though they can all communicate with the central access point (a condition known as the hidden terminal problem, Figure 4.3).	The result is that wireless networks adopt the policy of trying to avoid collisions rather than trying to detect them.
520	MESSAGE%HOP_COUNT	MESSAGE	HOP COUNT	584	1	Much of the internet protocol standard associated with routing deals with the protocols used for communication among neighboring network layers as they interchange routing information.	An interesting feature associated with forwarding is that each time an internet protocol network layer at a message's origin prepares a packet, it appends a value called a hop count, or time to live, to that packet.	This value is a limit to the number of times the packet should be forwarded as it tries to find its way through the Internet.
521	MESSAGE%INSTANT_MESSAGING	MESSAGE	INSTANT MESSAGING	266	2	Nevertheless, when examining a network protocol for an Internet application for the first time, it behooves us to begin with a few simpler examples before moving on to hypertext transfer protocol in the next section.	Electronic Mail A wide variety of systems now exist for exchanging messages between end users over the network; instant messaging (IM), browser-based online chatting, Twitter-based " tweets ", and the Facebook " wall " are but a few.	One of the oldest and most enduring uses of the Internet is the electronic mail system, or email for short.
522	MESSAGE%INTERNET_MAIL_ACCESS_PROTOCOL	MESSAGE	INTERNET MAIL ACCESS PROTOCOL	303	2	This is done on the user's local machine using the local machine's mass storage.	internet mail access protocol (pronounced " EYE-map ") allows a user to store and manipulate messages and related materials on the same machine as the mail server.	In this manner, a user who must access his or her email from different computers can maintain records at the mail server that are then accessible from any remote computer to which the user may have access.
523	MESSAGE%LINK_LAYER	MESSAGE	LINK LAYER	505	1	From there it is passed down through the transport and network layers as it is prepared for transmission, and finally it is transmitted by the link layer.	The message is received by the link layer at the destination and passed back up the hierarchy until it is delivered to the application layer at the message's destination.	Let us investigate this process more thoroughly by tracing a message as it finds its way through the system (Figure 4.14).
524	MESSAGE%NETWORK	MESSAGE	NETWORK	2	1	The need to share information and resources among different computers has led to linked computer systems, called networks, in which computers are connected so that data can be transferred from machine to machine.	In these networks, computer users can exchange messages and share resources-such as printing capabilities, software packages, and data storage facilities-that are scattered throughout the system.	The underlying software required to support such applications has grown from simple utility packages into an expanding system of network software that provides a sophisticated network-wide infrastructure.
525	MESSAGE%NETWORK_SOFTWARE	MESSAGE	NETWORK SOFTWARE	489	1	The Layered Approach to Internet Software	A principal task of networking software is to provide the infrastructure required for transferring messages from one machine to another.	In the Internet, this message-passing activity is accomplished by means of a hierarchy of software units, which perform tasks analogous to those that would be performed if you were to send a gift in a package from the West Coast of the United States to a friend on the East Coast (Figure 4.12).
526	MESSAGE%POST_OFFICE_PROTOCOL_VERSION_3	MESSAGE	POST OFFICE PROTOCOL VERSION 3	301	2	These are POP3 (post office protocol version 3) and internet mail access protocol (IMAP). post office protocol version 3 (pronounced " pop-THREE ") is the simpler of the two.	Using post office protocol version 3, a user transfers (downloads) messages to his or her local computer where they can be read, stored in various folders, edited, and otherwise manipulated as the user desires.	This is done on the user's local machine using the local machine's mass storage.
527	MESSAGE%PRIVATE-KEY	MESSAGE	PRIVATE-KEY	697	3	A public-key encryption system involves the use of two values called keys.	One key, known as the public-key, is used to encrypt messages; the other key, known as the private-key, is required to decrypt messages.	To use the system, the public-key is first distributed to those who might need to send messages to a particular destination.
528	MESSAGE%PROTOCOL	MESSAGE	PROTOCOL	41	1	Thus, the development of protocol standards is an indispensable process in the development of networking technologies.	As an introduction to the protocol concept, let us consider the problem of coordinating the transmission of messages among computers in a network.	Without rules governing this communication, all the computers might insist on transmitting messages at the same time or fail to assist other machines when that assistance is required.
529	MESSAGE%PUBLIC-KEY	MESSAGE	PUBLIC-KEY	697	3	A public-key encryption system involves the use of two values called keys.	One key, known as the public-key, is used to encrypt messages; the other key, known as the private-key, is required to decrypt messages.	To use the system, the public-key is first distributed to those who might need to send messages to a particular destination.
530	MESSAGE%PUBLIC-KEY_ENCRYPTION	MESSAGE	PUBLIC-KEY ENCRYPTION	692	1	Some use the presence or absence of the icon to indicate whether secure sockets layer is being used; others display the padlock in either the locked or unlocked position.	One of the more fascinating topics in the field of encryption is public-key encryption, which involves techniques by which encryption systems are designed so that having knowledge about how messages are encrypted does not allow one to decrypt messages.	This characteristic is somewhat counterintuitive.
531	MESSAGE%REPEATER	MESSAGE	REPEATER	80	1	A bridge is similar to, but more complex than, a repeater.	Like a repeater, it connects two buses, but it does not necessarily pass all messages across the connection.	Instead, it looks at the destination address that accompanies each message and forwards a message across the connection only when that message is destined for a computer on the other side.
532	MESSAGE%ROUTER	MESSAGE	ROUTER	97	4	Indeed, traditional telephone communication was handled by worldwide internet systems well before the Internet was popularized.	The connection between networks to form an internet is handled by devices known as routers, which are special purpose computers used for forwarding messages.	Note that the task of a router is different from that of repeaters, bridges, and switches in that routers provide links between networks while allowing each network to maintain its unique internal characteristics.
533	MESSAGE%ROUTER	MESSAGE	ROUTER	101	4	When a machine in one of the wifi networks wants to send a message to a machine in the ethernet network, it first sends the message to the access point in its network.	From there, the access point sends the message to its associated router, and this router forwards the message to the router at the Ethernet.	There the message is given to a machine on the bus, and that machine then forwards the message to its final destination in the Ethernet.
534	MESSAGE%SIMPLE_MAIL_TRANSFER_PROTOCOL	MESSAGE	SIMPLE MAIL TRANSFER PROTOCOL	268	3	One of the oldest and most enduring uses of the Internet is the electronic mail system, or email for short.	While many users now rely on their browser or a sophisticated application like Microsoft's Outlook, Apple's Mail, or Mozilla's Thunderbird to read and compose their email, the actual transmission of email messages from one computer to another on the Internet remains the domain of basic network protocols like simple mail transfer protocol.	Simple mail transfer protocol (SMTP) defines a way that two computers on the network may interact when transmitting an email message from one host to the other.
535	MESSAGE%SIMPLE_MAIL_TRANSFER_PROTOCOL	MESSAGE	SIMPLE MAIL TRANSFER PROTOCOL	298	3	Other protocols come into play for other aspects of transporting email.	Because simple mail transfer protocol was initially designed for transferring text messages encoded with ASCII, additional protocols such as multipurpose internet mail extension (MIME) have been developed to convert non-ASCII data to simple mail transfer protocol compatible form.	There are two popular protocols that may be used for accessing email that has arrived and accumulated at a user's mail server.
536	MESSAGE%SWITCH	MESSAGE	SWITCH	86	1	Thus, a switch produces a network consisting of several buses extending from the switch as spokes on a wheel (Figure 4.4b).	As in the case of a bridge, a switch considers the destination addresses of all messages and forwards only those messages destined for other spokes.	Moreover, each message that is forwarded is relayed only into the appropriate spoke, thus minimizing the traffic in each spoke.
