ID	PAIR	PREREQUISITE	TARGET	ID_SENT	AGREEMENT	SENT -1	SENT	SENT +1
216	NETWORK%CLIENT/SERVER_MODEL	NETWORK	CLIENT/SERVER MODEL	119	2	This model defines the basic roles played by the processes as either a client, which makes requests of other processes, or a server, which satisfies the requests made by clients.	An early application of the client/server model appeared in networks connecting all the computers in a cluster of offices.	In this situation, a single, highquality printer was attached to the network where it was available to all the machines in the network.
217	NETWORK%CONTENT_DELIVERY_NETWORK	NETWORK	CONTENT DELIVERY NETWORK	344	2	In order for this type of streaming to scale to thousands or even millions of simultaneous users, each with his or her own personal stream, replication of the content to many distinct servers is essential.	Large-scale streaming services make use of content delivery networks (CDNs), groups of servers distributed strategically around the Internet that specialize in streaming copies of content to nearby end users in their network " neighborhood ".	In many cases, content delivery networks machines may reside in an access internet service provider network, allowing customers of that access internet service provider to stream copies of multimedia content at high speed from a nearby server that is much closer in the network than the streaming service's central server machines.
218	NETWORK%CONTENT_DELIVERY_NETWORK	NETWORK	CONTENT DELIVERY NETWORK	345	2	Large-scale streaming services make use of content delivery networks (CDNs), groups of servers distributed strategically around the Internet that specialize in streaming copies of content to nearby end users in their network " neighborhood ".	In many cases, content delivery networks machines may reside in an access internet service provider network, allowing customers of that access internet service provider to stream copies of multimedia content at high speed from a nearby server that is much closer in the network than the streaming service's central server machines.	A networking technology called anycast, which enables an end user to automatically connect to the closest server out of a defined group of servers, helps to make content delivery networks practical.
219	NETWORK%DISTRIBUTED_SYSTEM	NETWORK	DISTRIBUTED SYSTEM	147	3	With the success of networking technology, interaction between computers via networks has become common and multifaceted.	Many modern software systems, such as global information retrieval systems, company-wide accounting and inventory systems, computer games, and even the software that controls a network's infrastructure itself are designed as distributed systems, meaning that they consist of software units that execute as processes on different computers.	Early distributed systems were developed independently from scratch.
220	NETWORK%END_SYSTEM	NETWORK	END SYSTEM	191	1	After all, the Internet is essentially a communications system, and thus any device that would benefit from communicating with other devices is a potential end system.	The technology by which end systems connect to larger networks is also varied.	Perhaps the fastest growing are wireless connections based on wifi technology.
221	NETWORK%ETHERNET_NETWORK	NETWORK	ETHERNET NETWORK	24	1	Two of the more popular topologies are the bus, in which the machines are all connected to a common communication line called a bus (Figure 4.1a), and the star, in which one machine serves as a central focal point to which all the others are connected (Figure 4.1b).	The bus topology was popularized in the 1990s when it was implemented under a set of standards known as Ethernet, and ethernet networks remain one of the most popular networking systems in use today.	The star topology has roots as far back as the 1970s.
222	NETWORK%FIREWALL	NETWORK	FIREWALL	644	3	The old adage " an ounce of prevention is worth a pound of cure " is certainly true in the context of controlling vandalism over network connections.	A primary prevention technique is to filter traffic passing through a point in the network, usually with a program called a firewall.	For instance, a firewall might be installed at the gateway of an organization's intranet to filter messages passing in and out of the region.
223	NETWORK%GATEWAY	NETWORK	GATEWAY	109	1	For this forwarding purpose, each router maintains a forwarding table that contains the router's knowledge about the direction in which messages should be sent depending on their destination addresses.	The " point " at which one network is linked to an internet is often called a gateway because it serves as a passageway between the network and the outside world.	Gateways can be found in a variety of forms, and thus the term is used rather loosely.
224	NETWORK%INTERNET	NETWORK	INTERNET	18	4	Open network designs are freely circulated and often grow in popularity to the point that they ultimately prevail over proprietary approaches whose applications are restricted by license fees and contract conditions.	The Internet (a popular worldwide network of networks that we will study in this chapter) is an open system.	In particular, communication throughout the Internet is governed by an open collection of standards known as the transmission control protocol/internet protocol protocol suite, which is the subject of Section 4.4.
225	NETWORK%INTERNET	NETWORK	INTERNET	92	4	For instance, the characteristics of a wifi network are not readily compatible with an ethernet network.	In these cases the networks must be connected in a manner that builds a network of networks, known as an internet, in which the original networks maintain their individuality and continue to function as autonomous networks.	Note that the generic term internet is distinct from the Internet.
226	NETWORK%INTERNET	NETWORK	INTERNET	166	4	4.2 The Internet	The most notable example of an internet is the Internet (note the uppercase I), which originated from research projects going back to the early 1960s.	The goal was to develop the ability to link a variety of computer networks so that they could function as a connected system that would not be disrupted by local disasters.
227	NETWORK%INTERNET_SERVICE_PROVIDER	NETWORK	INTERNET SERVICE PROVIDER	172	1	As we have already mentioned, the Internet is a collection of connected networks.	In general, these networks are constructed and maintained by organizations called internet service providers (ISPs).	It is also customary to use the term internet service provider in reference to the networks themselves.
228	NETWORK%INTERPROCESS_COMMUNICATION	NETWORK	INTERPROCESS COMMUNICATION	116	2	The various activities (or processes) executing on the different computers within a network (or even executing on the same machine via time-sharing/multitasking) must often communicate with each other to coordinate their actions and to perform their designated tasks.	Such communication between processes is called interprocess communication.	A popular convention used for interprocess communication is the client / server model.
229	NETWORK%LOCAL_AREA_NETWORK	NETWORK	LOCAL AREA NETWORK	9	4	Network Classifications	A computer network is often classified as being either a personal area network (PAN), a local area network (LAN), a metropolitan area network (MAN), or a wide area network (WAN).	A personal area network is normally used for shortrange communications-typically less than a few meters-such as between a wireless headset and a smartphone or between a wireless mouse and its PC.
230	NETWORK%MALICIOUS_SOFTWARE	NETWORK	MALICIOUS SOFTWARE	598	1	There are numerous ways that a computer system and its contents can be attacked via network connections.	Many of these incorporate the use of malicious software (collectively called malware).	Such software might be transferred to, and executed on, the computer itself, or it might attack the computer from a distance.
231	NETWORK%METROPOLITAN_AREA_NETWORK	NETWORK	METROPOLITAN AREA NETWORK	9	4	Network Classifications	A computer network is often classified as being either a personal area network (PAN), a local area network (LAN), a metropolitan area network (MAN), or a wide area network (WAN).	A personal area network is normally used for shortrange communications-typically less than a few meters-such as between a wireless headset and a smartphone or between a wireless mouse and its PC.
232	NETWORK%OPEN_NETWORK	NETWORK	OPEN NETWORK	16	3	Another means of classifying networks is based on whether the network's internal operation is based on designs that are in the public domain or on innovations owned and controlled by a particular entity such as an individual or a corporation.	A network of the former type is called an open network; a network of the latter type is called a closed, or sometimes a proprietary, network.	Open network designs are freely circulated and often grow in popularity to the point that they ultimately prevail over proprietary approaches whose applications are restricted by license fees and contract conditions.
233	NETWORK%PERSONAL_AREA_NETWORK	NETWORK	PERSONAL AREA NETWORK	9	4	Network Classifications	A computer network is often classified as being either a personal area network (PAN), a local area network (LAN), a metropolitan area network (MAN), or a wide area network (WAN).	A personal area network is normally used for shortrange communications-typically less than a few meters-such as between a wireless headset and a smartphone or between a wireless mouse and its PC.
234	NETWORK%PHONE_NETWORK	NETWORK	PHONE NETWORK	323	3	Access to the Internet was obtained by gateways between the company's network and the Internet, at which point signals were converted to the transmission control protocol/internet protocol system.	However, the 4G phone network is an internet protocol-based network throughout, which means a 4G telephone is essentially just another broadband-connected host computer on the global Internet.	Internet Multimedia Streaming
235	NETWORK%PHONE_NETWORK	NETWORK	PHONE NETWORK	334	3	The second generation used digital signals to encode voice, providing more effective use of the airwaves, and the transmission of other kinds of digital data, like text messaging.	The Third Generation (" 3G ") phone network provided higher data rates, allowing for mobile video calls and other bandwidth-intensive activities.	The 4G network provides even higher data rates and a fully packet-switched internet protocol network, which has allowed smartphones to enjoy the connectivity and flexibility previously available only to broadband-enabled PCs.
236	NETWORK%PROTOCOL	NETWORK	PROTOCOL	37	1	The result is a network that looks like a star network although it operates like a bus network.	Protocols For a network to function reliably, it is important to establish rules by which activities are conducted.	Such rules are called protocols.
237	NETWORK%ROUTER	NETWORK	ROUTER	97	3	Indeed, traditional telephone communication was handled by worldwide internet systems well before the Internet was popularized.	The connection between networks to form an internet is handled by devices known as routers, which are special purpose computers used for forwarding messages.	Note that the task of a router is different from that of repeaters, bridges, and switches in that routers provide links between networks while allowing each network to maintain its unique internal characteristics.
238	NETWORK%SERVER	NETWORK	SERVER	345	1	Large-scale streaming services make use of content delivery networks (CDNs), groups of servers distributed strategically around the Internet that specialize in streaming copies of content to nearby end users in their network " neighborhood ".	In many cases, content delivery networks machines may reside in an access internet service provider network, allowing customers of that access internet service provider to stream copies of multimedia content at high speed from a nearby server that is much closer in the network than the streaming service's central server machines.	A networking technology called anycast, which enables an end user to automatically connect to the closest server out of a defined group of servers, helps to make content delivery networks practical.
239	NETWORK%SIMPLE_MAIL_TRANSFER_PROTOCOL	NETWORK	SIMPLE MAIL TRANSFER PROTOCOL	268	1	One of the oldest and most enduring uses of the Internet is the electronic mail system, or email for short.	While many users now rely on their browser or a sophisticated application like Microsoft's Outlook, Apple's Mail, or Mozilla's Thunderbird to read and compose their email, the actual transmission of email messages from one computer to another on the Internet remains the domain of basic network protocols like simple mail transfer protocol.	Simple mail transfer protocol (SMTP) defines a way that two computers on the network may interact when transmitting an email message from one host to the other.
240	NETWORK%STAR	NETWORK	STAR	23	4	Still another way of classifying networks is based on the topology of the network, which refers to the pattern in which the machines are connected.	Two of the more popular topologies are the bus, in which the machines are all connected to a common communication line called a bus (Figure 4.1a), and the star, in which one machine serves as a central focal point to which all the others are connected (Figure 4.1b).	The bus topology was popularized in the 1990s when it was implemented under a set of standards known as Ethernet, and ethernet networks remain one of the most popular networking systems in use today.
241	NETWORK%STAR	NETWORK	STAR	27	4	It evolved from the paradigm of a large central computer serving many users.	As the simple terminals employed by these users grew into small computers themselves, a star network emerged.	Today, the star configuration is popular in wireless networks where communication is conducted by means of radio broadcast and the central machine, called the access point (AP), serves as a focal point around which all communication is coordinated.
242	NETWORK%STAR	NETWORK	STAR	28	4	As the simple terminals employed by these users grew into small computers themselves, a star network emerged.	Today, the star configuration is popular in wireless networks where communication is conducted by means of radio broadcast and the central machine, called the access point (AP), serves as a focal point around which all communication is coordinated.	The difference between a bus network and a star network is not always obvious by the physical arrangement of equipment.
243	NETWORK%WIDE_AREA_NETWORK	NETWORK	WIDE AREA NETWORK	9	4	Network Classifications	A computer network is often classified as being either a personal area network (PAN), a local area network (LAN), a metropolitan area network (MAN), or a wide area network (WAN).	A personal area network is normally used for shortrange communications-typically less than a few meters-such as between a wireless headset and a smartphone or between a wireless mouse and its PC.
244	NETWORK%WIFI_NETWORK	NETWORK	WIFI NETWORK	69	1	After all, any protocol based on distinguishing between a silent or busy channel requires that each individual station be able to hear all the others.	To solve this problem, some wifi networks require that each machine send a short " request " message to the access point and wait until the access point acknowledges that request before transmitting an entire message.	If the access point is busy because it is dealing with a " hidden terminal ", it will ignore the request, and the requesting machine will know to wait.
245	NETWORK%WIRELESS_NETWORK	NETWORK	WIRELESS NETWORK	28	1	As the simple terminals employed by these users grew into small computers themselves, a star network emerged.	Today, the star configuration is popular in wireless networks where communication is conducted by means of radio broadcast and the central machine, called the access point (AP), serves as a focal point around which all communication is coordinated.	The difference between a bus network and a star network is not always obvious by the physical arrangement of equipment.
246	NETWORK%WORM	NETWORK	WORM	610	2	Some viruses, however, perform devastating actions such as degrading portions of the operating system, erasing large blocks of mass storage, or otherwise corrupting data and other programs.	A worm is an autonomous program that transfers itself through a network, taking up residence in computers and forwarding copies of itself to other computers.	As in the case of a virus, a worm can be designed merely to replicate itself or to perform more extreme vandalism.
247	OPEN_NETWORK%INTERNET	OPEN NETWORK	INTERNET	18	1	Open network designs are freely circulated and often grow in popularity to the point that they ultimately prevail over proprietary approaches whose applications are restricted by license fees and contract conditions.	The Internet (a popular worldwide network of networks that we will study in this chapter) is an open system.	In particular, communication throughout the Internet is governed by an open collection of standards known as the transmission control protocol/internet protocol protocol suite, which is the subject of Section 4.4.
248	PEER-TO-PEER_MODEL%INSTANT_MESSAGING	PEER-TO-PEER MODEL	INSTANT MESSAGING	131	3	Moreover, whereas a server must execute continuously so that it is prepared to serve its clients at any time, the peer-to-peer model usually involves processes that execute on a temporary basis.	For example, applications of the peer-to-peer model include instant messaging in which people carry on a written conversation over the Internet as well as situations in which people play competitive interactive games.	The peer-to-peer model is also a popular means of distributing files such as music recordings and motion pictures via the Internet.
249	PERSONAL_AREA_NETWORK%INTERNET	PERSONAL AREA NETWORK	INTERNET	169	1	Much of this work was sponsored by the U.S. government through the Defense Advanced Research Projects Agency (DARPA-pronounced " DAR-pa ").	Over the years, the development of the Internet shifted from a governmentsponsored project to an academic research project, and today it is largely a commercial undertaking that links a worldwide combination of personal area networks, local area networks, metropolitan area networks, and wide area networks involving millions of computers.	Internet Architecture
250	PERSONAL_AREA_NETWORK%LOCAL_AREA_NETWORK	PERSONAL AREA NETWORK	LOCAL AREA NETWORK	11	1	A personal area network is normally used for shortrange communications-typically less than a few meters-such as between a wireless headset and a smartphone or between a wireless mouse and its PC.	In contrast, a local area network normally consists of a collection of computers in a single building or building complex.	For example, the computers on a university campus or those in a manufacturing plant might be connected by a local area network.
251	PHONE_NETWORK%1G	PHONE NETWORK	1G	332	2	The first generation wireless telephone network transmitted analog voice signals through the air, much like traditional telephones but without the copper wire running into the wall.	In retrospect, we call these early phones " 1G ", or first generation.	The second generation used digital signals to encode voice, providing more effective use of the airwaves, and the transmission of other kinds of digital data, like text messaging.
252	PHONE_NETWORK%3G	PHONE NETWORK	3G	334	2	The second generation used digital signals to encode voice, providing more effective use of the airwaves, and the transmission of other kinds of digital data, like text messaging.	The Third Generation (" 3G ") phone network provided higher data rates, allowing for mobile video calls and other bandwidth-intensive activities.	The 4G network provides even higher data rates and a fully packet-switched internet protocol network, which has allowed smartphones to enjoy the connectivity and flexibility previously available only to broadband-enabled PCs.
253	PHONE_NETWORK%4G	PHONE NETWORK	4G	323	2	Access to the Internet was obtained by gateways between the company's network and the Internet, at which point signals were converted to the transmission control protocol/internet protocol system.	However, the 4G phone network is an internet protocol-based network throughout, which means a 4G telephone is essentially just another broadband-connected host computer on the global Internet.	Internet Multimedia Streaming
254	PHONE_NETWORK%SECOND_GENERATION	PHONE NETWORK	SECOND GENERATION	333	2	In retrospect, we call these early phones " 1G ", or first generation.	The second generation used digital signals to encode voice, providing more effective use of the airwaves, and the transmission of other kinds of digital data, like text messaging.	The Third Generation (" 3G ") phone network provided higher data rates, allowing for mobile video calls and other bandwidth-intensive activities.
255	PRIVATE-KEY%BIT_PATTERN	PRIVATE-KEY	BIT PATTERN	716	1	That is, text can be encrypted with the private-key, and because only one party has access to that key, any text that is so encrypted must have originated from that party.	In this manner, the holder of the private-key can produce a bit pattern, called a digital signature, that only that party knows how to produce.	By attaching that signature to a message, the sender can mark the message as being authentic.
256	PRIVATE-KEY%DIGITAL_SIGNATURE	PRIVATE-KEY	DIGITAL SIGNATURE	716	3	That is, text can be encrypted with the private-key, and because only one party has access to that key, any text that is so encrypted must have originated from that party.	In this manner, the holder of the private-key can produce a bit pattern, called a digital signature, that only that party knows how to produce.	By attaching that signature to a message, the sender can mark the message as being authentic.
257	PRIVATE-KEY%DIGITAL_SIGNATURE	PRIVATE-KEY	DIGITAL SIGNATURE	718	3	By attaching that signature to a message, the sender can mark the message as being authentic.	A digital signature can be as simple as the encrypted version of the message itself.	All the sender must do is encrypt the message being transmitted using his or her private-key (the key typically used for decrypting).
258	PROTOCOL%4G	PROTOCOL	4G	323	2	Access to the Internet was obtained by gateways between the company's network and the Internet, at which point signals were converted to the transmission control protocol/internet protocol system.	However, the 4G phone network is an internet protocol-based network throughout, which means a 4G telephone is essentially just another broadband-connected host computer on the global Internet.	Internet Multimedia Streaming
259	PROTOCOL%CARRIER_SENSE_,_MULTIPLE_ACCESS_WITH_COLLISION_AVOIDANCE	PROTOCOL	CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION AVOIDANCE	57	2	The result is that wireless networks adopt the policy of trying to avoid collisions rather than trying to detect them.	Such policies are classified as carrier sense, multiple access with collision avoidance (CSMA/CA), many of which are standardized by IEEE (see the sidebar " Institute of Electrical and Electronics Engineers " in Chapter 7) within the protocols defined in IEEE 802.11 and commonly referred to as wifi.	We emphasize that collision avoidance protocols are designed to avoid collisions and may not eliminate them completely.
260	PROTOCOL%CARRIER_SENSE_,_MULTIPLE_ACCESS_WITH_COLLISION_DETECTION	PROTOCOL	CARRIER SENSE , MULTIPLE ACCESS WITH COLLISION DETECTION	43	4	Without rules governing this communication, all the computers might insist on transmitting messages at the same time or fail to assist other machines when that assistance is required.	In a bus network based on the Ethernet standards, the right to transmit messages is controlled by the protocol known as carrier sense, multiple access with collision detection (CSMA/CD).	This protocol dictates that each message be broadcast to all the machines on the bus (Figure 4.2).
261	PROTOCOL%COLLISION_AVOIDANCE	PROTOCOL	COLLISION AVOIDANCE	58	1	Such policies are classified as carrier sense, multiple access with collision avoidance (CSMA/CA), many of which are standardized by IEEE (see the sidebar " Institute of Electrical and Electronics Engineers " in Chapter 7) within the protocols defined in IEEE 802.11 and commonly referred to as wifi.	We emphasize that collision avoidance protocols are designed to avoid collisions and may not eliminate them completely.	When collisions do occur, messages must be retransmitted.
262	PROTOCOL%DOMAIN_NAME_SYSTEM	PROTOCOL	DOMAIN NAME SYSTEM	272	1	First, a mail handling process on mail.skaro.gov contacts the mail server process on mail.tardis.edu.	To accomplish this, it uses domain name system, another network protocol, to map the human-readable destination domain name to the proper mail server name, and then to its internet protocol address.	This is not unlike looking up the phone number of an acquaintance before dialing.
263	PROTOCOL%FILE_TRANSFER_PROTOCOL	PROTOCOL	FILE TRANSFER PROTOCOL	263	3	In the earlier days of the Internet, most applications were separate, simple programs that each followed a network protocol.	A newsreader application contacted servers using the Network News Transfer Protocol (NNTP), an application for listing and copying files across the network implemented the file transfer protocol (FTP), or an application for accessing another computer from a great distance used the Telnet protocol, or later the secure shell (SSH) protocol.	As webservers and browsers have become more sophisticated, more and more of these traditional network applications have come to be handled by webpages via the powerful hypertext transfer protocol (HTTP).
264	PROTOCOL%HYPERTEXT_TRANSFER_PROTOCOL	PROTOCOL	HYPERTEXT TRANSFER PROTOCOL	264	4	A newsreader application contacted servers using the Network News Transfer Protocol (NNTP), an application for listing and copying files across the network implemented the file transfer protocol (FTP), or an application for accessing another computer from a great distance used the Telnet protocol, or later the secure shell (SSH) protocol.	As webservers and browsers have become more sophisticated, more and more of these traditional network applications have come to be handled by webpages via the powerful hypertext transfer protocol (HTTP).	Nevertheless, when examining a network protocol for an Internet application for the first time, it behooves us to begin with a few simpler examples before moving on to hypertext transfer protocol in the next section.
265	PROTOCOL%HYPERTEXT_TRANSFER_PROTOCOL	PROTOCOL	HYPERTEXT TRANSFER PROTOCOL	360	4	Its task is to provide access to the documents under its control as requested by clients (browsers).	Hypertext documents are normally transferred between browsers and webservers using a protocol known as the hypertext transfer protocol (HTTP).	In order to locate and retrieve documents on the Web, each document is given a unique address called a uniform resource locator (URL).
266	PROTOCOL%INTERNET	PROTOCOL	INTERNET	18	2	Open network designs are freely circulated and often grow in popularity to the point that they ultimately prevail over proprietary approaches whose applications are restricted by license fees and contract conditions.	The Internet (a popular worldwide network of networks that we will study in this chapter) is an open system.	In particular, communication throughout the Internet is governed by an open collection of standards known as the transmission control protocol/internet protocol protocol suite, which is the subject of Section 4.4.
267	PROTOCOL%INTERNET	PROTOCOL	INTERNET	19	2	The Internet (a popular worldwide network of networks that we will study in this chapter) is an open system.	In particular, communication throughout the Internet is governed by an open collection of standards known as the transmission control protocol/internet protocol protocol suite, which is the subject of Section 4.4.	Anyone is free to use these standards without paying fees or signing license agreements.
268	PROTOCOL%INTERNET_MAIL_ACCESS_PROTOCOL	PROTOCOL	INTERNET MAIL ACCESS PROTOCOL	300	3	There are two popular protocols that may be used for accessing email that has arrived and accumulated at a user's mail server.	These are POP3 (post office protocol version 3) and internet mail access protocol (IMAP). post office protocol version 3 (pronounced " pop-THREE ") is the simpler of the two.	Using post office protocol version 3, a user transfers (downloads) messages to his or her local computer where they can be read, stored in various folders, edited, and otherwise manipulated as the user desires.
269	PROTOCOL%INTERNET_PROTOCOL	PROTOCOL	INTERNET PROTOCOL	216	2	In the Internet these addresses are known as internet protocol addresses.	The term internet protocol refers to " internet protocol ", which is a term we will learn more about in Section 4.4.	Originally, each internet protocol address was a pattern of 32 bits, but to provide a larger set of addresses, the process of converting to 128-bit addresses is currently underway (see the discussion of internet protocolv6 in Section 4.4).
270	PROTOCOL%INTERNET_PROTOCOL	PROTOCOL	INTERNET PROTOCOL	561	2	The transmission control protocol/internet protocol protocol suite is a collection of protocol standards used by the Internet to implement the four-level communication hierarchy.	Actually, the transmission control protocol (TCP) and the internet protocol (IP) are the names of only two of the protocols in this vast collection-so the fact that the entire collection is referred to as the transmission control protocol/internet protocol protocol suite is rather misleading.	More precisely, transmission control protocol defines a version of the transport layer.
271	PROTOCOL%NETWORK_NEWS_TRANSFER_PROTOCOL	PROTOCOL	NETWORK NEWS TRANSFER PROTOCOL	263	3	In the earlier days of the Internet, most applications were separate, simple programs that each followed a network protocol.	A newsreader application contacted servers using the Network News Transfer Protocol (NNTP), an application for listing and copying files across the network implemented the file transfer protocol (FTP), or an application for accessing another computer from a great distance used the Telnet protocol, or later the secure shell (SSH) protocol.	As webservers and browsers have become more sophisticated, more and more of these traditional network applications have come to be handled by webpages via the powerful hypertext transfer protocol (HTTP).
272	PROTOCOL%PHONE_NETWORK	PROTOCOL	PHONE NETWORK	323	1	Access to the Internet was obtained by gateways between the company's network and the Internet, at which point signals were converted to the transmission control protocol/internet protocol system.	However, the 4G phone network is an internet protocol-based network throughout, which means a 4G telephone is essentially just another broadband-connected host computer on the global Internet.	Internet Multimedia Streaming
273	PROTOCOL%POST_OFFICE_PROTOCOL_VERSION_3	PROTOCOL	POST OFFICE PROTOCOL VERSION 3	300	3	There are two popular protocols that may be used for accessing email that has arrived and accumulated at a user's mail server.	These are POP3 (post office protocol version 3) and internet mail access protocol (IMAP). post office protocol version 3 (pronounced " pop-THREE ") is the simpler of the two.	Using post office protocol version 3, a user transfers (downloads) messages to his or her local computer where they can be read, stored in various folders, edited, and otherwise manipulated as the user desires.
274	PROTOCOL%SECURE_SHELL	PROTOCOL	SECURE SHELL	263	3	In the earlier days of the Internet, most applications were separate, simple programs that each followed a network protocol.	A newsreader application contacted servers using the Network News Transfer Protocol (NNTP), an application for listing and copying files across the network implemented the file transfer protocol (FTP), or an application for accessing another computer from a great distance used the Telnet protocol, or later the secure shell (SSH) protocol.	As webservers and browsers have become more sophisticated, more and more of these traditional network applications have come to be handled by webpages via the powerful hypertext transfer protocol (HTTP).
275	PROTOCOL%SECURE_SOCKET_LAYER	PROTOCOL	SECURE SOCKET LAYER	689	2	A prime example is the secure version of hypertext transfer protocol, known as HTTPS (hypertext transfer protocol over secure socket layer), which is used by most financial institutions to provide customers with secure internet access to their accounts.	The backbone of hypertext transfer protocol over secure socket layer is the protocol system known as secure sockets layer (SSL), which was originally developed by Netscape to provide secure communication links between Web clients and servers.	Most browsers indicate the use of secure sockets layer by displaying a tiny padlock icon on the computer screen.
276	PROTOCOL%SIMPLE_MAIL_TRANSFER_PROTOCOL	PROTOCOL	SIMPLE MAIL TRANSFER PROTOCOL	268	2	One of the oldest and most enduring uses of the Internet is the electronic mail system, or email for short.	While many users now rely on their browser or a sophisticated application like Microsoft's Outlook, Apple's Mail, or Mozilla's Thunderbird to read and compose their email, the actual transmission of email messages from one computer to another on the Internet remains the domain of basic network protocols like simple mail transfer protocol.	Simple mail transfer protocol (SMTP) defines a way that two computers on the network may interact when transmitting an email message from one host to the other.
277	PROTOCOL%TRANSMISSION_CONTROL_PROTOCOL	PROTOCOL	TRANSMISSION CONTROL PROTOCOL	561	2	The transmission control protocol/internet protocol protocol suite is a collection of protocol standards used by the Internet to implement the four-level communication hierarchy.	Actually, the transmission control protocol (TCP) and the internet protocol (IP) are the names of only two of the protocols in this vast collection-so the fact that the entire collection is referred to as the transmission control protocol/internet protocol protocol suite is rather misleading.	More precisely, transmission control protocol defines a version of the transport layer.
278	PROTOCOL%TRANSMISSION_CONTROL_PROTOCOL	PROTOCOL	TRANSMISSION CONTROL PROTOCOL	562	2	Actually, the transmission control protocol (TCP) and the internet protocol (IP) are the names of only two of the protocols in this vast collection-so the fact that the entire collection is referred to as the transmission control protocol/internet protocol protocol suite is rather misleading.	More precisely, transmission control protocol defines a version of the transport layer.	We say a version because the transmission control protocol/internet protocol protocol suite provides for more than one way of implementing the transport layer; one of the other options is defined by the user datagram protocol (UDP).
279	PROTOCOL%TRANSMISSION_CONTROL_PROTOCOL/INTERNET_PROTOCOL_NETWORK	PROTOCOL	TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL NETWORK	318	1	This choice is frequently bundled with traditional Internet service and/or digital television service.	The third type of voice over internet protocol comes in the form of embedded voice over internet protocol phones, which are devices that replace a traditional telephone with an equivalent handset connected directly to a transmission control protocol/internet protocol network.	Embedded voice over internet protocol phones are becoming increasingly common for large organizations, many of whom are replacing their traditional internal copper wire telephone systems with voice over internet protocol over Ethernet to reduce costs and enhance features.
280	PROTOCOL%UNIFORM_RESOURCE_LOCATOR	PROTOCOL	UNIFORM RESOURCE LOCATOR	364	1	Thus to view a webpage, a person first provides his or her browser with the uniform resource locator of the desired document and then instructs the browser to retrieve and display the document.	A typical uniform resource locator is presented in Figure 4.8.	It consists of four segments: the protocol to use to communicate with the server controlling access to the document, the mnemonic address of the machine containing the server, the directory path needed for the server to find the directory containing the document, and the name of the document itself.
281	PROTOCOL%USER_DATAGRAM_PROTOCOL	PROTOCOL	USER DATAGRAM PROTOCOL	563	2	More precisely, transmission control protocol defines a version of the transport layer.	We say a version because the transmission control protocol/internet protocol protocol suite provides for more than one way of implementing the transport layer; one of the other options is defined by the user datagram protocol (UDP).	This diversity is analogous to the fact that when shipping a package, you have a choice of different shipping companies, each of which offers the same basic service but with its own unique characteristics.
282	PROTOCOL%VOICE_OVER_INTERNET_PROTOCOL	PROTOCOL	VOICE OVER INTERNET PROTOCOL	306	2	VoIP	As an example of a more recent Internet application, consider voice over internet protocol (VoIP) in which the internet infrastructure is used to provide voice communication similar to that of traditional telephone systems.	In its simplest form, voice over internet protocol consists of two processes on different machines transferring audio data via the peer-to-peer model-a process that in itself presents no significant problems.
283	PROTOCOL%WORLD_WIDE_WEB	PROTOCOL	WORLD WIDE WEB	352	1	His first software for implementing the Web was released in December, 1990.	program == software	From this humble beginning, the Web quickly grew to support images, audio and video, and by the mid-1990s had become the dominant application powering the growth of the Internet.
284	PUBLIC-KEY_ENCRYPTION%PRIVATE-KEY	PUBLIC-KEY ENCRYPTION	PRIVATE-KEY	697	2	A public-key encryption system involves the use of two values called keys.	One key, known as the public-key, is used to encrypt messages; the other key, known as the private-key, is required to decrypt messages.	To use the system, the public-key is first distributed to those who might need to send messages to a particular destination.
285	PUBLIC-KEY_ENCRYPTION%PUBLIC-KEY	PUBLIC-KEY ENCRYPTION	PUBLIC-KEY	697	2	A public-key encryption system involves the use of two values called keys.	One key, known as the public-key, is used to encrypt messages; the other key, known as the private-key, is required to decrypt messages.	To use the system, the public-key is first distributed to those who might need to send messages to a particular destination.
286	PUBLIC-KEY%CERTIFICATE	PUBLIC-KEY	CERTIFICATE	710	1	One approach to resolving this problem is to establish trusted Internet sites, called certificate authorities, whose task is to maintain accurate lists of parties and their public-keys.	These authorities, acting as servers, then provide reliable public-key information to their clients in packages known as certificates.	A certificate is a package containing a party's name and that party's public-key.
287	PUBLIC-KEY%CERTIFICATE_AUTHORITY	PUBLIC-KEY	CERTIFICATE AUTHORITY	709	1	Thus, the task of associating public-keys with correct parties is significant.	One approach to resolving this problem is to establish trusted Internet sites, called certificate authorities, whose task is to maintain accurate lists of parties and their public-keys.	These authorities, acting as servers, then provide reliable public-key information to their clients in packages known as certificates.
288	REPEATER%BRIDGE	REPEATER	BRIDGE	79	1	The simplest of these is the repeater, which is little more than a device that passes signals back and forth between the two original buses (usually with some form of amplification) without considering the meaning of the signals (Figure 4.4a).	A bridge is similar to, but more complex than, a repeater.	Like a repeater, it connects two buses, but it does not necessarily pass all messages across the connection.
289	REPEATER%ROUTER	REPEATER	ROUTER	98	1	The connection between networks to form an internet is handled by devices known as routers, which are special purpose computers used for forwarding messages.	Note that the task of a router is different from that of repeaters, bridges, and switches in that routers provide links between networks while allowing each network to maintain its unique internal characteristics.	As an example, Figure 4.5 depicts two wifi star networks and an Ethernet bus network connected by routers.
